Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,FCF,GROWTH_Q-1_in_percent,REV_GROWTH_Q-1_in_percent,Treated,After
HMSP.JK,2020Q2,Tobacco,2.974695127,4.764816072,4.19048E+13,1.52926E+13,1.62405E+12,-54.05206444,-11.16335389,1,1
HRUM.JK,2020Q2,"Oil, Gas and Coal",4.79728938,6.553607391,6.61764E+12,1.90116E+12,3.38359E+11,479.9556127,-41.21257454,0,1
ICBP.JK,2020Q2,Food Producers,3.461922156,4.982455553,4.34584E+13,1.48048E+13,2.07219E+12,75.73607591,-8.043698285,0,1
ICON.JK,2020Q2,Real Estate Investment and Services Development,1.07363348,1.598147178,3.61056E+11,1.86265E+11,3904076250,-77.60256194,-29.88792695,1,1
INAF.JK,2020Q2,Pharmaceuticals and Biotechnology,1.143135151,3.408884819,1.55531E+12,1.05503E+12,19657567560,-288.5567358,101.8886174,0,1
INCI.JK,2020Q2,Chemicals,0.884921806,1.086835412,4.35929E+11,87008930070,15615961250,255.69894,-14.46536415,0,1
INDF.JK,2020Q2,Food Producers,1.61041198,3.577554906,1.03395E+14,6.28719E+13,1.46144E+12,28.30859332,4.014241021,0,1
INDR.JK,2020Q2,Personal Goods,-0.421193086,-0.866199477,1.06834E+13,5.40112E+12,9096186400,-168.0263994,-51.73380415,1,1
INDS.JK,2020Q2,Automobiles and Parts,-0.583110652,-0.644625767,2.84333E+12,2.90708E+11,49056179800,-29.53964486,-46.75671958,1,1
INDY.JK,2020Q2,"Oil, Gas and Coal",0.058023228,-0.111714634,4.77669E+13,3.66929E+13,8.0927E+11,-130.9803631,-33.90346115,0,1
INKP.JK,2020Q2,Industrial Materials,0.286970872,0.570502143,1.17849E+14,6.85491E+13,3.5299E+12,62.84971807,-21.57130853,1,1
IPOL.JK,2020Q2,General Industrials,0.527896332,0.822560188,3.86276E+12,1.90854E+12,46521667000,-11.75031643,-15.79785915,1,1
ISAT.JK,2020Q2,Telecommunications Service Providers,0.451643542,2.155069588,6.10795E+13,4.86786E+13,1.89749E+12,354.1182763,6.216849517,0,1
ITMA.JK,2020Q2,"Oil, Gas and Coal",2.267968908,2.272204157,2.14567E+12,4401632500,55426923750,-44.36944396,-13.00613497,0,1
ITMG.JK,2020Q2,"Oil, Gas and Coal",1.141406246,1.663054536,1.74225E+13,5.09222E+12,3.52969E+11,-67.264007,-31.83079682,0,1
JECC.JK,2020Q2,Technology Hardware & Equipment,-0.297809216,-0.618900854,1.51205E+12,8.85996E+11,16340624000,-56.75216389,-38.69554641,0,1
JIHD.JK,2020Q2,Real Estate Investment and Services Development,-1.180037795,-1.311898692,6.82702E+12,3.24679E+12,443826000,50.15645069,-54.73302849,1,1
JRPT.JK,2020Q2,Real Estate Investment and Services Development,1.713650313,2.751643087,1.16647E+13,4.63655E+12,1.99402E+11,-0.636165431,1.90384061,1,1
KICI.JK,2020Q2,Household Goods and Home Construction,-0.354714952,-0.653985012,1.58619E+11,73417903700,20022110,-379.8936466,-46.37609217,0,1
KLBF.JK,2020Q2,Pharmaceuticals and Biotechnology,3.306642516,4.382426597,2.20911E+13,5.74954E+12,6.01418E+11,3.513672477,0.229240348,0,1
KMTR.JK,2020Q2,Automobiles and Parts,3.17525077,7.848691111,4.37039E+12,2.57319E+12,1.49887E+11,-289.7140344,-39.1452634,1,1
KRAH.JK,2020Q2,Industrial Engineering,-10.93193905,-73.22514549,6.06056E+11,5.07667E+11,25058968980,-2048.970419,-5.265138636,1,1
LION.JK,2020Q2,Industrial Metals and Mining,-2.426492655,-3.522451995,6.7531E+11,2.17629E+11,11015917270,-320.4635977,-21.18791555,1,1
LPPF.JK,2020Q2,Retailers,-2.94928106,-22.29295193,8.68086E+12,7.90023E+12,1.07686E+11,-113.2066372,-54.55798323,1,1
LSIP.JK,2020Q2,Food Producers,0.781613334,0.949238577,1.04706E+13,1.89173E+12,85870000000,-67.70254267,-27.24097851,0,1
LTLS.JK,2020Q2,Chemicals,2.200716473,6.465347567,6.02983E+12,4.13366E+12,1.62918E+11,-450.5125436,-14.61553706,0,1
MAPB.JK,2020Q2,Travel and Leisure,-3.720448364,-8.852787318,2.65581E+12,1.58323E+12,34847000000,463.7630349,-58.40339668,1,1
MASA.JK,2020Q2,Automobiles and Parts,-0.890140226,-1.94437977,5.99348E+12,3.77314E+12,1.31327E+11,-63.97046137,-29.54143963,1,1
MBAP.JK,2020Q2,"Oil, Gas and Coal",4.105589606,5.536949164,3.07298E+12,7.42901E+11,1.60355E+11,-50.96926351,-22.61351154,0,1
MDKA.JK,2020Q2,Industrial Metals and Mining,2.262037617,4.559008474,1.3354E+13,7.19584E+12,4.43884E+11,195.4550285,-20.35037393,1,1
MFIN.JK,2020Q2,Finance and Credit Services,0.328344009,0.660635642,4.57307E+12,2.22375E+12,19008000000,-61.28415901,-24.17995719,0,1
MICE.JK,2020Q2,"Personal Care, Drug and Grocery Stores",-0.293431437,-0.210976954,1.02165E+12,3.46823E+11,11328311000,-24.04705681,-22.00862514,0,1
MIDI.JK,2020Q2,Retailers,1.097129553,4.843183442,5.57848E+12,4.30589E+12,70202000000,-25.42785709,5.882898568,1,1
MIKA.JK,2020Q2,Health Care Providers,1.667374521,2.059041426,5.85882E+12,1.59402E+12,61653572340,-62.99589667,-35.22073613,0,1
MLIA.JK,2020Q2,Construction and Materials,-0.378593364,-0.888707986,5.72509E+12,3.25461E+12,29474046890,-7.058147736,-26.99983486,0,1
MMLP.JK,2020Q2,Industrial Support Services,0.727364484,-0.278752814,6.75555E+12,2.86441E+12,38273405000,13.56711038,7.16368886,1,1
MNCN.JK,2020Q2,Media,3.67548235,5.311046109,1.83939E+13,5.83331E+12,4.5091E+11,-3.004820967,-3.207864288,1,1
MSKY.JK,2020Q2,Media,-1.152034888,-1.798164061,4.21687E+12,1.45712E+12,77415000000,19.66052092,-0.873330772,1,1
MTDL.JK,2020Q2,Technology Hardware & Equipment,1.712376677,2.829289561,5.55971E+12,3.38585E+12,95809000000,-24.62356166,-17.16713599,0,1
MTLA.JK,2020Q2,Real Estate Investment and Services Development,0.504074412,0.779183089,5.81099E+12,2.24199E+12,63326000000,-59.37147565,-50.8697513,1,1
MYOH.JK,2020Q2,"Oil, Gas and Coal",9.644731551,12.40137152,2.26871E+12,4.0283E+11,19668232000,-41.19754468,-15.41540299,0,1
NRCA.JK,2020Q2,Construction and Materials,0.624327123,1.203320156,2.38494E+12,1.19553E+12,27579048710,107.5620447,-26.53052168,0,1
PBRX.JK,2020Q2,Personal Goods,1.89385644,3.793859645,9.26988E+12,5.9532E+12,17475230000,-24.69913648,46.27313676,1,1
PBSA.JK,2020Q2,Construction and Materials,2.354804162,3.16601729,7.45628E+11,1.89322E+11,7260310610,-65.30543484,-19.71675712,0,1
PEGE.JK,2020Q2,Investment Banking and Brokerage Services,1.467040362,1.501573092,5.07245E+11,8122437220,7441684900,-108.5331784,-129.2385882,1,1
PGAS.JK,2020Q2,"Gas, Water and Multi-utilities",-0.368704207,-1.607570299,1.07146E+14,8.69853E+13,1.77279E+12,36.58279132,-40.72797579,0,1
PGLI.JK,2020Q2,Travel and Leisure,-1.924785018,-2.810232635,89996026030,27732244050,950959220,75.53651486,-38.55932806,1,1
PKPK.JK,2020Q2,"Oil, Gas and Coal",1.194834514,5.439024565,76964386000,59369214000,2432072000,-122.1064206,857.1243282,0,1
PORT.JK,2020Q2,Industrial Transportation,-1.330640566,-3.06773142,2.16162E+12,1.40922E+12,37333452000,-45.21934574,-11.54069982,1,1
POWR.JK,2020Q2,Electricity,2.504863396,4.886548187,1.90993E+13,1.03726E+13,2.26058E+11,-57.07242111,-32.3127288,1,1
PRAS.JK,2020Q2,Industrial Metals and Mining,1.272541228,4.028443433,1.65025E+12,1.19993E+12,1323273660,-84.37847413,-52.14766114,1,1
PTBA.JK,2020Q2,"Oil, Gas and Coal",1.432452631,2.169416364,2.68925E+13,7.97306E+12,9.89121E+11,15.83311617,-24.06064238,0,1
PTIS.JK,2020Q2,General Industrials,0.003001754,0.006432051,5.01592E+11,2.65693E+11,8496939600,103.5672618,-11.37230069,1,1
RALS.JK,2020Q2,Retailers,-0.141167241,-0.189889276,5.4648E+12,1.2957E+12,26677000000,358.2300691,-39.12746389,1,1
RIGS.JK,2020Q2,Industrial Transportation,-1.023625581,-1.17108708,6.92617E+11,1.40204E+11,15978238000,-133.8664389,-37.45892328,1,1
SCCO.JK,2020Q2,Electronic and Electrical Equipment,0.713109126,0.896168918,3.98584E+12,8.69935E+11,1.147E+11,-10.37640303,-49.29511349,1,1
SCMA.JK,2020Q2,Media,3.932034089,5.66142572,6.78878E+12,1.75683E+12,2.70528E+11,-18.15267074,-18.97472359,1,1
SCPI.JK,2020Q2,Pharmaceuticals and Biotechnology,2.343129822,5.735927057,1.7627E+12,1.01809E+12,42763388000,-54.53514014,-9.713867347,0,1
SIDO.JK,2020Q2,Food Producers,5.076667973,5.718821149,3.44414E+12,3.66531E+11,2.01047E+11,-22.40384582,-0.235659271,0,1
SMDM.JK,2020Q2,Real Estate Investment and Services Development,0.023987695,-0.191348509,3.21066E+12,1.43611E+12,4005541320,-34.08593097,-27.58936977,1,1
SMGR.JK,2020Q2,Construction and Materials,0.229617468,0.505147985,7.8299E+13,4.55752E+13,5.2523E+11,-33.87235512,-13.2182561,0,1
SMSM.JK,2020Q2,Automobiles and Parts,2.67877168,3.914429858,3.36651E+12,1.08561E+12,1.05108E+11,-34.14187976,-17.69087662,1,1
SOCI.JK,2020Q2,Industrial Transportation,0.156908279,0.317379997,9.70704E+12,5.61805E+12,1.02745E+11,92.25929268,-20.43348014,1,1
SRIL.JK,2020Q2,Personal Goods,1.794266189,4.645889814,2.5859E+13,1.34162E+13,1.75112E+11,16.50766615,29.6621609,1,1
SSTM.JK,2020Q2,Personal Goods,-0.013188288,-0.029572726,4.56145E+11,2.54295E+11,7577183950,-127.5394349,-76.99430292,1,1
TBMS.JK,2020Q2,Industrial Metals and Mining,1.342735991,3.566432318,1.71304E+12,1.01671E+12,28026202800,248.4041313,-52.61490851,1,1
TCID.JK,2020Q2,Personal Goods,-2.512557829,-3.100722903,2.28035E+12,5.13954E+11,35641702120,-98.30076388,-23.82732904,1,1
TFCO.JK,2020Q2,Chemicals,0.192356325,0.203563529,4.30136E+12,3.38505E+11,48573185000,-96.9172438,-44.29899674,0,1
TGKA.JK,2020Q2,"Personal Care, Drug and Grocery Stores",3.437693244,8.091860098,3.1216E+12,2.1335E+12,1.24031E+11,10.02561228,-3.38653569,0,1
TIFA.JK,2020Q2,Finance and Credit Services,0.63308871,1.890922517,1.08543E+12,7.00844E+11,4135969000,-9.163352134,-5.341595587,0,1
TKIM.JK,2020Q2,Industrial Materials,-2.153729449,-4.419439165,4.40135E+13,2.51103E+13,2.88344E+12,956.5396292,-40.5195049,1,1
TLKM.JK,2020Q2,Telecommunications Service Providers,2.921364423,5.066581021,2.46351E+14,1.35467E+14,1.1443E+13,53.56591143,-4.480318184,0,1
TOBA.JK,2020Q2,"Oil, Gas and Coal",0.660268698,0.554345029,1.0458E+13,8.17954E+12,4.07749E+11,50.97430583,-72.84667752,0,1
TPMA.JK,2020Q2,Industrial Transportation,0.38735715,0.53490117,1.57764E+12,4.33507E+11,23416852000,-97.83388926,-45.97774624,1,1
TRIM.JK,2020Q2,Investment Banking and Brokerage Services,0.091144262,0.296345738,2.42458E+12,1.56576E+12,4820669000,-0.409404064,2.205034778,1,1
TRUS.JK,2020Q2,Investment Banking and Brokerage Services,0.450674149,0.49582145,3.20301E+11,29809693370,1725811300,-51.60425994,-5.218450359,1,1
TSPC.JK,2020Q2,Pharmaceuticals and Biotechnology,1.069790639,1.519368282,8.75686E+12,3.10854E+12,2.64728E+11,48.39342217,-6.365569156,0,1
TURI.JK,2020Q2,Retailers,-0.301705065,-0.447219213,5.74896E+12,1.69827E+12,36406000000,-98.36934077,-59.34267965,1,1
ULTJ.JK,2020Q2,Food Producers,1.716872151,1.972088892,7.05439E+12,9.51001E+11,1.45515E+11,-68.52457394,-12.95155299,0,1
UNIC.JK,2020Q2,Chemicals,1.822664408,2.34825306,3.05608E+12,7.52181E+11,21440531000,-31.47019075,-21.06992897,0,1
UNIT.JK,2020Q2,Investment Banking and Brokerage Services,0.019198749,0.070006035,4.19318E+11,2.84092E+11,5216314380,19.80575276,29.06460149,1,1
UNTR.JK,2020Q2,Industrial Engineering,2.093300745,3.674019796,1.04221E+14,4.54979E+13,4.20572E+12,-34.13905574,-18.76346716,1,1
VICO.JK,2020Q2,Investment Banking and Brokerage Services,0.008056452,0.083014906,2.55164E+13,2.57812E+13,4263137000,203.0119013,-57.82198428,1,1
WAPO.JK,2020Q2,Food Producers,-1.352630908,-1.513632924,83257888510,12330551510,733834250,-52.12587505,-50.71679636,0,1
WINS.JK,2020Q2,Industrial Transportation,-1.906941166,-2.948777703,3.37548E+12,1.50282E+12,17244581600,-358.9808299,-39.47106981,1,1
WOMF.JK,2020Q2,Finance and Credit Services,0.175077172,1.097457741,6.76219E+12,5.56572E+12,31899000000,-23.0671475,-21.80299225,0,1
WOOD.JK,2020Q2,Household Goods and Home Construction,1.002514351,2.031848488,5.59192E+12,2.92142E+12,53409675330,-21.92220246,35.19316426,0,1
WSBP.JK,2020Q2,Construction and Materials,-0.638825703,-1.407145408,1.53582E+13,8.5474E+12,2.34664E+11,-69.60853011,-53.9215762,0,1
YPAS.JK,2020Q2,Chemicals,-1.160763592,-2.472546728,2.58679E+11,1.40974E+11,6494523660,-25.23313252,-13.61550672,0,1
AALI.JK,2019Q2,Food Producers,0.050227578,0.033592246,2.71618E+13,8.63566E+12,42451000000,54.21431361,1.434728364,0,0
ABMM.JK,2019Q2,"Oil, Gas and Coal",-0.02156834,-0.075400823,1.16534E+13,7.87731E+12,1.22767E+11,-75.47868242,-25.09617499,0,0
ACES.JK,2019Q2,Retailers,4.205699787,5.47606836,5.44998E+12,1.68411E+12,2.32085E+11,-0.410411307,-9.368820336,1,0
ADMF.JK,2019Q2,Finance and Credit Services,1.455344315,7.180789784,3.368E+13,2.66964E+13,4.73457E+11,7.228970946,1.61223769,0,0
ADRO.JK,2019Q2,"Oil, Gas and Coal",2.67227577,4.730159084,1.01098E+14,4.65865E+13,9.78329E+11,30.37475608,8.87061631,0,0
ALDO.JK,2019Q2,Household Goods and Home Construction,1.590222368,3.112086379,9.33016E+11,5.3648E+11,21322212770,-5.826822855,-12.75699891,0,0
ALKA.JK,2019Q2,Industrial Metals and Mining,1.228503812,4.555248146,4.08588E+11,3.91122E+11,3711971000,-139.6168273,-4.730313255,1,0
AMRT.JK,2019Q2,"Personal Care, Drug and Grocery Stores",0.904854751,3.256828614,2.25252E+13,1.70787E+13,1.67797E+11,-37.23412335,16.30613858,0,0
APIC.JK,2019Q2,Investment Banking and Brokerage Services,1.3862453,2.49949449,3.42402E+12,1.29183E+12,23031545290,38.30442813,-11.63275799,1,0
ARNA.JK,2019Q2,Construction and Materials,2.898428075,4.467317703,1.63469E+12,5.72781E+11,74668934670,-19.33480442,-13.48623181,0,0
ARTI.JK,2019Q2,Household Goods and Home Construction,-0.969145861,-0.679284102,3.54397E+12,9.59531E+11,11201644150,-86.98534038,-39.10824449,0,0
ASGR.JK,2019Q2,Technology Hardware & Equipment,1.334122664,2.090834464,2.28645E+12,8.12289E+11,75324000000,44.18791946,13.30719033,0,0
ASII.JK,2019Q2,Automobiles and Parts,1.593431759,3.262716987,3.50288E+14,2.10847E+14,6.263E+12,-15.41799248,-5.086650897,1,0
ASSA.JK,2019Q2,Consumer Services,0.354673371,2.19008288,4.55212E+12,3.40651E+12,1.10673E+11,5.148270416,12.45420332,1,0
BAYU.JK,2019Q2,Travel and Leisure,1.333613006,2.362936796,8.21811E+11,3.39246E+11,4102432990,-68.93014653,47.48495715,1,0
BBLD.JK,2019Q2,Finance and Credit Services,0.318769344,1.377831336,5.155E+12,3.93862E+12,12545000000,6.107290474,3.312782282,0,0
BCAP.JK,2019Q2,Investment Banking and Brokerage Services,0.071185273,0.242899327,1.83874E+13,1.34825E+13,21578000000,31.9490868,-1.544602102,1,0
BFIN.JK,2019Q2,Investment Banking and Brokerage Services,1.918747726,5.592924377,1.83691E+13,1.22611E+13,3.5135E+11,0.981668749,0.813647436,1,0
BIRD.JK,2019Q2,Travel and Leisure,0.965567963,1.333695428,7.0865E+12,1.92339E+12,20193000000,-17.04488911,-3.957495951,1,0
BLTA.JK,2019Q2,Industrial Transportation,0.138908802,0.336948862,1.01221E+12,6.04284E+11,1030614000,-163.9128607,-7.031359407,1,0
BMSR.JK,2019Q2,Real Estate Investment and Services Development,-0.31350438,-1.20820414,5.78516E+11,4.13645E+11,5063193330,-27.76236448,-19.44988434,1,0
BPFI.JK,2019Q2,Investment Banking and Brokerage Services,1.091532355,2.361685296,1.75779E+12,9.46502E+11,12019100890,-9.352763584,-3.836490638,1,0
BPII.JK,2019Q2,Industrial Support Services,3.045380754,6.113188739,2.69596E+12,1.87282E+12,70525921390,1.439858993,1.074494109,1,0
BSDE.JK,2019Q2,Real Estate Investment and Services Development,2.905582431,5.343769609,5.33061E+13,2.5676E+13,6.86059E+11,17.30945612,20.99973208,1,0
BTEK.JK,2019Q2,Food Producers,-0.002183173,-0.005131906,5.20927E+12,2.98028E+12,11028895130,-159.1386115,20.87361075,0,0
BTON.JK,2019Q2,Industrial Metals and Mining,0.050152522,0.061698447,2.31113E+11,35859538800,34574320,-93.05126434,10.88634346,1,0
BUDI.JK,2019Q2,Food Producers,0.403724275,0.875427889,3.1145E+12,2.14535E+12,41945000000,36.93766624,-30.9586276,0,0
BUKK.JK,2019Q2,Construction and Materials,1.537555844,3.245968136,4.6315E+12,2.41458E+12,90380408000,-55.85688058,-28.47872935,0,0
BYAN.JK,2019Q2,"Oil, Gas and Coal",7.698277481,14.50618326,1.96477E+13,1.19115E+13,1.37171E+12,18.74151932,33.91572854,0,0
CFIN.JK,2019Q2,Finance and Credit Services,0.689538179,1.835266316,1.21432E+13,7.63446E+12,73399669000,6.205606479,4.190825586,0,0
CITA.JK,2019Q2,Industrial Metals and Mining,6.517878323,12.31482456,3.73918E+12,1.63698E+12,2.80293E+11,105.6645447,2.91298092,1,0
CLPI.JK,2019Q2,Chemicals,0.633669899,0.951544609,7.08823E+11,2.11299E+11,18781602410,74.93913969,-6.676595457,0,0
CPIN.JK,2019Q2,Food Producers,3.202589388,4.652920261,2.8631E+13,8.39062E+12,5.11529E+11,-32.03665935,4.586194692,0,0
CTRA.JK,2019Q2,Real Estate Investment and Services Development,0.065420669,0.091389589,3.50766E+13,1.97609E+13,2.62213E+11,-41.3579293,-8.990291073,1,0
DEFI.JK,2019Q2,Investment Banking and Brokerage Services,-0.026961428,-0.027293816,87949892870,901561450,172093570,-87.07056796,0.857571744,1,0
DILD.JK,2019Q2,Real Estate Investment and Services Development,-0.183575757,-0.659008375,1.4577E+13,8.22264E+12,1.06163E+11,25.22895816,-48.36773804,1,0
DLTA.JK,2019Q2,Beverages,3.46242245,4.644689817,1.62614E+12,2.35194E+11,87271852000,-23.13417699,-28.6476963,0,0
DMAS.JK,2019Q2,Real Estate Investment and Services Development,7.889014003,8.827635929,7.46449E+12,6.65901E+11,6.11675E+11,-2128.352313,15267.99895,1,0
DSFI.JK,2019Q2,Food Producers,0.857481994,1.822630464,4.02148E+11,2.09831E+11,3202905540,143.2644797,-13.24228776,0,0
DSSA.JK,2019Q2,Electricity,0.236385259,0.390627118,5.36735E+13,3.04134E+13,5.66672E+11,358.4523652,-15.68201055,1,0
